sub,stage,pe_mean,pe_n,hep_pp_mean,hep_pp_n,hep_rejected
n1,W,0.6273393510917133,32,22.8589530289247,1059,60
n1,N1,0.6395309181407233,23,18.98218148218148,814,60
n1,N2,0.5995477996617451,486,16.902143853091456,16146,60
n1,N3,0.5765793033237855,313,24.30255535559479,11614,60
n1,R,0.6103495613807601,234,14.40719623591406,8197,60
n2,W,0.6668536210260085,8,19.9934662048447,328,3
n2,N1,0.6418170740434831,12,25.219402644055553,466,3
n2,N2,0.6495385033582117,48,30.224219198036018,1818,3
n2,N3,0.6370105844862577,68,29.75076561777273,2458,3
n2,R,,0,,0,3
n3,W,0.6827485178659741,23,28.959544159544162,750,34
n3,N1,0.6806958216940088,5,36.48361442479089,187,34
n3,N2,0.694899402777361,13,30.132065436515084,427,34
n3,N3,0.6950809660245924,24,34.15162818832543,763,34
n3,R,,0,,0,34
n4,W,0.8250778980041774,220,36.386553993883595,7614,222
n4,N1,0.7898573827852521,15,21.401474083792998,440,222
n4,N2,0.7726842566069889,387,30.566771949745288,12413,222
n4,N3,0.7556044875333771,134,28.625352017662056,4305,222
n4,R,0.7506177473835509,194,29.62714808491832,5825,222
n5,W,0.6508124408919413,8,24.201017323288063,229,11
n5,N1,0.6158141290611322,36,16.919942632993628,1157,11
n5,N2,0.6058232863101107,391,18.228158102236037,13421,11
n5,N3,0.5886675126915241,296,20.04740107818644,10492,11
n5,R,0.6011789051666375,227,18.354156134615305,7666,11
n6,W,0.9782277558852069,55,53.477714173124774,1461,326
n6,N1,0.980777651934754,7,38.73632988281861,211,326
n6,N2,0.9592515231297477,473,40.32159192035322,12617,326
n6,N3,0.9322039605630217,199,49.78206526620833,5442,326
n6,R,0.9705980703013587,260,30.197715705384688,7129,326
n7,W,0.9494840131829789,60,59.10792120258087,1681,892
n7,N1,0.9413817673274827,9,42.07037914366335,209,892
n7,N2,0.9030334169360694,394,49.62685030503017,12868,892
n7,N3,0.845430345952576,242,88.20067961138474,7981,892
n7,R,0.9183694590514697,243,36.905782879583946,8638,892
n8,W,0.8103691546435543,117,16.75611966529753,3726,1
n8,N1,0.8238766059408394,36,14.336595730907137,1160,1
n8,N2,0.7994255221403566,384,16.73961796638877,12595,1
n8,N3,0.7624946818745832,217,23.20506852905183,7427,1
n8,R,0.8218993635861387,192,14.7860522807384,6280,1
n9,W,0.9488860240213618,115,36.7471019174482,3384,790
n9,N1,0.9351591593859336,25,25.07788628749629,740,790
n9,N2,0.8674480827667228,462,37.90505709694004,11663,790
n9,N3,0.8134159069251641,173,55.064982845351274,4523,790
n9,R,0.9151092099963415,222,29.227974474544734,5965,790
n10,W,0.652820625180823,63,25.46936863444662,2308,16
n10,N1,0.6623251880124716,2,22.633485133485134,74,16
n10,N2,0.550334787428446,249,41.508675691482345,8829,16
n10,N3,0.5751458787946371,302,32.63272429939097,10989,16
n10,R,0.5560064886143984,211,28.483791699153144,7968,16
n11,W,0.6894602927506257,55,31.525776412140043,1452,93
n11,N1,0.6912936422284043,5,15.61202686202686,160,93
n11,N2,0.6217826260856198,257,18.419180804885887,7765,93
n11,N3,0.5859555908283918,340,30.95053301231974,11216,93
n11,R,0.6306254047841642,375,18.33096258721533,11395,93
n12,W,0.9531205722988355,30,41.87741877418774,271,108
n12,N1,0.8641436592610008,3,33.54756097560975,100,108
n12,N2,0.8155185621299337,412,41.44883195608041,12795,108
n12,N3,0.7778317527357034,224,53.673031439692565,6899,108
n12,R,0.8718529221484649,293,31.559391561809857,9531,108
n13,W,,0,,0,32181
n13,N1,,0,,0,32181
n13,N2,,0,,0,32181
n13,N3,,0,,0,32181
n13,R,,0,,0,32181
n14,W,,0,,0,34612
n14,N1,,0,,0,34612
n14,N2,,0,,0,34612
n14,N3,,0,,0,34612
n14,R,,0,,0,34612
n15,W,,0,,0,30145
n15,N1,,0,,0,30145
n15,N2,,0,,0,30145
n15,N3,,0,,0,30145
n15,R,,0,,0,30145
