sub,stage,early_mean,late_mean,coupling_r,coupling_slope,n_epochs,front_ch,post_ch,cross_channel
n1,W,0.9137628476469781,0.26025371988379714,0.08874737571118571,0.061795370676959595,832,F1-F3,C3-P3,True
n1,N1,0.1099686054883604,0.02911464343434434,-0.06094422196835897,-0.047535933696051545,362,F1-F3,C3-P3,True
n1,N2,0.48933212487256345,0.23877855377860494,0.16963150931764626,0.18094320348577808,4667,F1-F3,C3-P3,True
n1,N3,0.8222709100695297,0.7051328124566744,0.14083838060172266,0.13302746979177216,7611,F1-F3,C3-P3,True
n1,R,0.834260966743793,0.9604552365734212,0.03844175732460858,0.03304701897417758,1019,F1-F3,C3-P3,True
n2,W,0.13497285110042967,1.2181592087463728,0.22223080515584898,0.16237893442306675,4664,FP2-F4,C4-P4,True
n2,N1,0.05318131927511982,1.078820588973613,0.14400197049806185,0.09953181197829632,4684,FP2-F4,C4-P4,True
n2,N2,-0.2391814521562134,1.1597940269322506,0.22665770013587008,0.12333811139212915,13043,FP2-F4,C4-P4,True
n2,N3,-0.09502945487525284,0.823846017986411,0.16336758827665204,0.09677222235408744,6632,FP2-F4,C4-P4,True
n2,R,-0.28069497037974434,1.1329082544716518,0.1763430372574297,0.1216701357577741,5208,FP2-F4,C4-P4,True
n3,W,0.7867998227264106,0.82799825543059,0.23476668068157064,0.20030439481516857,3978,FP1-F3,C3-P3,True
n3,N1,0.8362086739591587,0.2897724081029134,0.1694127691085573,0.14577785863365944,1443,FP1-F3,C3-P3,True
n3,N2,0.9832483935606562,0.44749062338442613,0.18549523544471008,0.1939208959099926,10177,FP1-F3,C3-P3,True
n3,N3,0.9347524384087769,-0.20891730041218004,0.1512527817587551,0.13008814086923032,8583,FP1-F3,C3-P3,True
n3,R,0.7249094916696635,0.38551572629461345,0.19309168433357263,0.1968720348853031,5551,FP1-F3,C3-P3,True
n4,W,-0.08000406731146421,0.36289995155963944,0.16427647077029434,0.09477983927679004,7673,FP2-F4,C4-P4,True
n4,N1,-0.43986550305199845,-0.07019709497441726,0.2645159948745925,0.27573543192945055,532,FP2-F4,C4-P4,True
n4,N2,0.1770003447830349,-0.4295310327595556,-0.06041286166524953,-0.047589901582085606,12846,FP2-F4,C4-P4,True
n4,N3,0.8527309886311804,-0.8740579979334938,-0.14834588152260547,-0.13357539837927732,4465,FP2-F4,C4-P4,True
n4,R,0.6111539250394659,-0.9731828110248114,-0.08229598672960549,-0.07618131006833422,5938,FP2-F4,C4-P4,True
n5,W,0.2949043129400986,0.2851686945637024,-0.022377400305445824,-0.021886048123772643,294,FP1-F3,C3-P3,True
n5,N1,0.6882742166342465,-0.584083231531731,0.10181090220122159,0.09725069371841537,1598,FP1-F3,C3-P3,True
n5,N2,0.4915184087809634,-0.21911515000680218,0.07137487126214878,0.07545985310131327,14114,FP1-F3,C3-P3,True
n5,N3,0.30310884628473733,-0.13010423337027036,0.06614067328633053,0.07158037069422446,10730,FP1-F3,C3-P3,True
n5,R,0.5453784530380069,-0.25639388766963706,0.10816838038802293,0.10885489195035064,7835,FP1-F3,C3-P3,True
n6,W,2.8321912540360583,-0.542196025193325,0.028218316773596794,0.03187861411768762,1575,C3-A2,O2-A1,True
n6,N1,0.9447680889367043,-0.1071701402763903,0.11655124231256236,0.10370321620141078,374,C3-A2,O2-A1,True
n6,N2,1.977364695137506,-0.4142714399013203,0.0968619092477375,0.08910457375465801,13052,C3-A2,O2-A1,True
n6,N3,0.7793310326854977,-0.7463202593402355,0.12666619089950928,0.10644214557922772,5618,C3-A2,O2-A1,True
n6,R,2.2967403193522413,-0.0024812047745851606,0.08627266657254026,0.08777333212044386,7229,C3-A2,O2-A1,True
n7,W,-0.11468756250680313,-0.6851326152949684,0.025437658343052397,0.028247737914721516,1812,C3-A2,O2-A1,True
n7,N1,0.8804091270714397,0.04371600457235051,0.016765942630531234,0.015825135835013136,341,C3-A2,O2-A1,True
n7,N2,0.3655190828633815,-0.27558149905161705,0.15680434347017586,0.13406043268143789,13209,C3-A2,O2-A1,True
n7,N3,0.20492714787554905,-0.8517334696111581,0.12174191716492946,0.11386730420072316,7750,C3-A2,O2-A1,True
n7,R,0.8307126043133212,0.2274574477765788,0.07478460025259083,0.07839914755605368,8763,C3-A2,O2-A1,True
